projID,prgLng,arch,sizeProj,effortProj
1,4,1,1164,3777
2,4,1,1834,4389
3,4,1,388,1647
4,2,1,336,1318
5,2,1,116,529
6,2,1,182,691
7,2,1,65,291
8,2,1,160,448
9,2,1,185,262
10,1,1,168,415
11,1,2,422,2070
12,1,2,296,1947
13,1,2,129,1500
14,2,2,143,1114
15,3,2,38,362
16,3,2,89,921
17,1,1,3656,13905
